date,link,text
2019-05-16 12:08,https://newyork.craigslist.org/mnh/egr/d/new-york-city-document-reviewer/6890259574.html,Document Reviewer
2019-05-16 12:06,https://newyork.craigslist.org/brk/egr/d/brooklyn-pro-aire-design-seeks-full/6890257157.html,Pro Aire Design seeks Full Time HVAC Estimator / Estimating Assistant
2019-05-16 11:52,https://newyork.craigslist.org/mnh/egr/d/new-york-city-healthcare-architect/6890243363.html,HealthCare Architect
2019-05-16 10:56,https://newyork.craigslist.org/que/egr/d/long-island-city-scenic-fabricator/6890191098.html,Scenic fabricator/Project Manager
2019-05-16 10:06,https://newyork.craigslist.org/lgi/egr/d/island-park-cnc-striker-programmer/6890149632.html,CNC (STRIKER) PROGRAMMER WANTED
2019-05-16 09:54,https://newyork.craigslist.org/jsy/egr/d/new-york-city-field-analyst/6890140436.html,Field Analyst
2019-05-15 22:34,https://newyork.craigslist.org/brk/egr/d/brooklyn-dob-licensed-superintendent/6889964692.html,DOB LICENSED SUPERINTENDENT 100k-120k year/MUST HAVE DOB LICENSE
2019-05-15 18:06,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural/6889804436.html,Architectural Visualization Renderer
2019-05-15 16:47,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6889738660.html,Junior Architect
2019-05-15 16:10,https://newyork.craigslist.org/mnh/egr/d/new-york-city-technical-architect/6889705765.html,Technical Architect - Designer
2019-05-15 16:08,https://newyork.craigslist.org/que/egr/d/bangor-class-cdl-truck-driver-yard/6889704122.html,Class A CDL truck driver/yard worker
2019-05-15 15:45,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect/6889683461.html,Architect
2019-05-15 11:58,https://newyork.craigslist.org/wch/egr/d/mount-vernon-auto-cad-construction/6889462520.html,AUTO CAD / CONSTRUCTION ESTIMATOR
2019-05-15 11:42,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-architect/6889447105.html,Project Architect
2019-05-15 11:28,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-revit-architect-3/6889433757.html,Junior Revit Architect (3 yrs experience min. - local applicants only)
2019-05-15 09:55,https://newyork.craigslist.org/mnh/egr/d/new-york-city-draftsperson-or-junior/6889349938.html,Draftsperson or Junior Architect Wanted for Freelance Work
2019-05-15 09:36,https://newyork.craigslist.org/brk/egr/d/brooklyn-assistant-project-estimator/6889336192.html,Assistant Project Estimator for Architectural Metal & Glass
2019-05-15 09:33,https://newyork.craigslist.org/brk/egr/d/brooklyn-senior-project-estimator-for/6889333634.html,Senior Project Estimator for Architectural Metal & Glass
2019-05-15 08:45,https://newyork.craigslist.org/brk/egr/d/cad-drafter/6889304048.html,CAD DRAFTER
2019-05-15 06:50,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6889263888.html,Junior Architect
2019-05-14 21:12,https://newyork.craigslist.org/mnh/egr/d/new-york-city-part-time-student-intern/6889130926.html,Part-time Student Intern in Architecture
2019-05-14 16:39,https://newyork.craigslist.org/brk/egr/d/brooklyn-junior-landscape-designer-2-3/6888936947.html,Junior Landscape Designer (2-3 years Experience)
2019-05-14 15:06,https://newyork.craigslist.org/mnh/egr/d/astoria-jr-estimator-role/6888851184.html,Jr Estimator role
2019-05-14 14:41,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager-high-rise/6888825991.html,Project Manager- High Rise Development/Residential
2019-05-14 13:20,https://newyork.craigslist.org/brk/egr/d/brooklyn-senior-landscape-designer/6888744577.html,Senior Landscape Designer/Architect
2019-05-14 12:01,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-designer/6888663392.html,Architectural Designer
2019-05-14 11:55,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-project/6888657150.html,Architectural Project Manager
2019-05-14 09:51,https://newyork.craigslist.org/mnh/egr/d/new-york-city-interior-designer/6888543538.html,Interior Designer - Residential
2019-05-13 21:42,https://newyork.craigslist.org/mnh/egr/d/new-york-city-mep-engineer-partner/6888333544.html,MEP Engineer - Partner Potential
2019-05-13 21:10,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-summer-intern/6888316084.html,Architectural summer Intern  - revit
2019-05-13 18:26,https://newyork.craigslist.org/lgi/egr/d/bohemia-senior-electrical-engineer/6888204477.html,Senior Electrical Engineer
2019-05-13 17:02,https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/6888136024.html,Draftsperson Detailer
2019-05-13 16:14,https://newyork.craigslist.org/mnh/egr/d/new-york-city-healthcare-architect/6888092085.html,HealthCare Architect
2019-05-13 12:46,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-summer/6887880324.html,Architectural summer Intern
2019-05-13 11:28,https://newyork.craigslist.org/brk/egr/d/long-island-city-steel-detailer-position/6887798083.html,STEEL DETAILER POSITION
2019-05-13 10:33,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect/6887745012.html,Architect
2019-05-13 10:07,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-coordinator/6887721422.html,Project Coordinator / Intermediate Architect
2019-05-13 08:01,https://newyork.craigslist.org/que/egr/d/jamaica-hvac-drafter/6887646103.html,HVAC DRAFTER
2019-05-12 16:29,https://newyork.craigslist.org/que/egr/d/flushing-construction-inspector-special/6887359877.html,Construction Inspector / Special Inspector
2019-05-12 12:31,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-project-manager/6887205060.html,Architect; project manager/job captain
2019-05-11 19:49,https://newyork.craigslist.org/que/egr/d/flushing-architectural-designer/6886918177.html,Architectural Designer
2019-05-11 19:28,https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer/6886907326.html,Structural Engineer
2019-05-11 17:56,https://newyork.craigslist.org/wch/egr/d/white-plains-kitchen-designer/6886853036.html,KITCHEN DESIGNER
2019-05-11 17:29,https://newyork.craigslist.org/mnh/egr/d/new-york-city-construction-consultant/6886835317.html,Construction Consultant
2019-05-11 16:21,https://newyork.craigslist.org/que/egr/d/architectural-designer/6886786284.html,ARCHITECTURAL DESIGNER
2019-05-11 13:37,https://newyork.craigslist.org/mnh/egr/d/new-york-city-electrical-engineering/6886647633.html,Electrical Engineering - Modeling Distribution Systems
2019-05-10 17:54,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-junior/6886128766.html,Facade / Building Envelope Junior Architect
2019-05-10 17:53,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6886127685.html,Facade / Building Envelope Structural Engineer
2019-05-10 17:52,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6886126657.html,Facade / Building Envelope Architect
2019-05-10 17:50,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-e-project/6886125427.html,Facade / Building Envelope A/E Project Managers
2019-05-10 17:01,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-structural-civil/6886085651.html,Project Structural/Civil Engineer
2019-05-10 16:28,https://newyork.craigslist.org/mnh/egr/d/new-york-city-cad-bim-modeler/6886057140.html,CAD//BIM Modeler
2019-05-10 15:58,https://newyork.craigslist.org/mnh/egr/d/new-york-city-electrical-estimator/6886030650.html,Electrical Estimator
2019-05-10 15:17,https://newyork.craigslist.org/que/egr/d/maspeth-hvac-drafter/6885993684.html,HVAC Drafter
2019-05-10 15:15,https://newyork.craigslist.org/que/egr/d/hvac-service-technician/6885991672.html,HVAC Service Technician
2019-05-10 14:27,https://newyork.craigslist.org/que/egr/d/brooklyn-entry-level-and-experienced/6885945124.html,Entry-Level and Experienced Steel Detailers
2019-05-10 13:35,https://newyork.craigslist.org/mnh/egr/d/new-york-city-mechanical-engineer/6885893094.html,Mechanical Engineer
2019-05-10 13:15,https://newyork.craigslist.org/mnh/egr/d/new-york-city-bim-drafter/6885872899.html,BIM / Drafter
2019-05-10 13:00,https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-project-architect/6885857229.html,Senior Project Architect
2019-05-09 20:03,https://newyork.craigslist.org/mnh/egr/d/new-york-city-designer-modern-closets/6885435374.html,Designer – Modern Closets and Storage Systems
2019-05-09 17:25,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-with-2-to-12/6885324194.html,Architect with 2 to 12 years Experience
2019-05-09 16:56,https://newyork.craigslist.org/mnh/egr/d/new-york-city-lighting-project-manager/6885300223.html,Lighting Project Manager
2019-05-09 16:19,https://newyork.craigslist.org/mnh/egr/d/new-york-city-construction-project/6885267873.html,Construction Project Manager
2019-05-09 10:42,https://newyork.craigslist.org/mnh/egr/d/new-york-city-sr-account-manager/6884951148.html,Sr. Account Manager-Furniture Design
